1.155000	1.155000	
1.990400	1.990400	
2.786800	2.786800	
4.364200	4.364200	1
5.170800	5.170800	2
5.957800	5.957800	3
7.609000	7.609000	
8.431800	8.431800	
9.265600	9.265600	
11.004800	11.004800	4
11.844000	11.844000	
12.641800	12.641800	x
14.409400	14.409400	
15.243400	15.243400	
16.103400	16.103400	
17.813200	17.813200	
18.663400	18.663400	
19.522800	19.522800	
21.252400	21.252400	5
22.072400	22.072400	
22.887000	22.887000	
24.553400	24.553400	x
25.432800	25.432800	
26.268800	26.268800	
27.983600	27.983600	
28.820200	28.820200	x
29.705000	29.705000	
31.511600	31.511600	
32.361600	32.361600	
33.228000	33.228000	
34.966000	34.966000	
35.810000	35.810000	
36.700200	36.700200	
38.430600	38.430600	
39.239600	39.239600	
40.043000	40.043000	6
41.671000	41.671000	
42.524800	42.524800	
43.349000	43.349000	
45.009000	45.009000	
45.841000	45.841000	
46.688200	46.688200	8
48.308400	48.308400	
49.103800	49.103800	
49.934000	49.934000	
51.576400	51.576400	
52.383400	52.383400	
53.246800	53.246800	
