0.402825	0.402825	1
1.004250	1.004250	2
1.609075	1.609075	3
2.212300	2.212300	4
2.838075	2.838075	5
3.474200	3.474200	6
4.095950	4.095950	7
4.710875	4.710875	8
5.326212	5.326212	9
5.968225	5.968225	10
6.596100	6.596100	11
7.210400	7.210400	12
7.814475	7.814475	13
8.431975	8.431975	14
9.027575	9.027575	15
9.642975	9.642975	16
10.252425	10.252425	17
10.871500	10.871500	18
11.482275	11.482275	19
12.076275	12.076275	20
12.672700	12.672700	21
13.264575	13.264575	22
13.885625	13.885625	23
14.508175	14.508175	24
15.178550	15.178550	25
