0.462900	0.462900	1
1.081400	1.081400	2
1.715000	1.715000	3
2.324175	2.324175	4
2.950575	2.950575	5
3.548625	3.548625	6
4.155350	4.155350	7
4.751800	4.751800	8
5.395950	5.395950	9
5.991575	5.991575	10
6.597325	6.597325	11
7.213575	7.213575	12
7.835525	7.835525	13
8.456100	8.456100	14
9.071900	9.071900	15
9.697600	9.697600	16
10.272925	10.272925	17
10.858725	10.858725	18
11.451675	11.451675	19
12.042350	12.042350	20
12.658200	12.658200	21
13.288700	13.288700	22
13.901575	13.901575	23
14.493125	14.493125	24
15.123550	15.123550	25
