0.266175	0.266175	1
0.780875	0.780875	2
1.281525	1.281525	3
2.294950	2.294950	4
2.812825	2.812825	5
3.356200	3.356200	6
4.365325	4.365325	7
4.871125	4.871125	8
5.369600	5.369600	9
6.377075	6.377075	10
6.895975	6.895975	11
7.419850	7.419850	12
8.456850	8.456850	13
8.964750	8.964750	14
9.483525	9.483525	15
10.514450	10.514450	16
11.024650	11.024650	17
11.516900	11.516900	18
12.519625	12.519625	19
13.035050	13.035050	20
13.531950	13.531950	21
14.567750	14.567750	22
15.092600	15.092600	23
15.601675	15.601675	24
16.671050	16.671050	25
17.183300	17.183300	26
17.698550	17.698550	27
18.768850	18.768850	28
19.276600	19.276600	29
19.806500	19.806500	30
20.858675	20.858675	31
21.371050	21.371050	32
21.895325	21.895325	33
22.947325	22.947325	34
23.490200	23.490200	35
24.048250	24.048250	36
25.142975	25.142975	37
25.662300	25.662300	38
26.199350	26.199350	39
27.396875	27.396875	40
27.939425	27.939425	41
28.467725	28.467725	42
29.510000	29.510000	43
30.034725	30.034725	44
30.580000	30.580000	45
31.589200	31.589200	46
32.120725	32.120725	47
32.659150	32.659150	48
