1.470450	1.470450	1
2.426675	2.426675	2
3.362925	3.362925	3
5.391950	5.391950	4
6.342275	6.342275	5
7.247125	7.247125	6
9.392175	9.392175	
10.380650	10.380650	8
11.311075	11.311075	9
13.496200	13.496200	10
14.394500	14.394500	11
15.327975	15.327975	12
17.658800	17.658800	13
18.580500	18.580500	14
19.512950	19.512950	15
21.838300	21.838300	16
22.725779	22.725779	
23.621475	23.621475	17
25.912325	25.912325	18
26.805325	26.805325	19
27.716825	27.716825	20
30.001750	30.001750	21
30.887850	30.887850	
31.811575	31.811575	23
34.051325	34.051325	24
34.975475	34.975475	25
35.931775	35.931775	26
38.253475	38.253475	
39.139175	39.139175	28
40.055825	40.055825	29
42.439250	42.439250	30
43.373875	43.373875	31
44.349125	44.349125	32
46.693150	46.693150	33
47.585075	47.585075	34
48.501900	48.501900	35
50.815350	50.815350	36
51.703450	51.703450	37
52.594450	52.594450	38
54.951875	54.951875	39
55.831275	55.831275	
56.732075	56.732075	41
59.105675	59.105675	42
59.989000	59.989000	43
60.891475	60.891475	44
63.087525	63.087525	45
63.973200	63.973200	46
64.859625	64.859625	47
